trade_date,name,value
20230504,光伏概念,-1.6211999999999975
20230505,光伏概念,-3.1268999999999973
20230508,光伏概念,-2.6634999999999978
20230509,光伏概念,-4.526699999999997
20230510,光伏概念,-3.2984999999999975
20230511,光伏概念,-2.7216999999999976
20230512,光伏概念,-3.8308999999999975
20230515,光伏概念,-1.9397999999999975
20230516,光伏概念,-1.7964999999999975
20230517,光伏概念,-0.7599999999999976
20230518,光伏概念,-1.1050999999999975
20230519,光伏概念,-1.0685999999999976
20230522,光伏概念,-0.05949999999999722
20230523,光伏概念,-1.0894999999999972
20230524,光伏概念,-0.25579999999999714
20230525,光伏概念,1.1432000000000029
20230526,光伏概念,0.26050000000000306
20230529,光伏概念,-0.6897999999999969
20230530,光伏概念,-0.48839999999999684
20230531,光伏概念,-1.2772999999999968
20230601,光伏概念,-1.5095999999999967
20230602,光伏概念,-0.24089999999999678
20230605,光伏概念,-0.34089999999999687
20230606,光伏概念,-2.581899999999997
20230607,光伏概念,-2.845199999999997
20230608,光伏概念,-3.333999999999997
20230609,光伏概念,-2.415899999999997
20230612,光伏概念,-1.6676999999999969
20230613,光伏概念,-1.2856999999999967
20230614,光伏概念,-1.7622999999999966
20230615,光伏概念,0.3923000000000032
20230616,光伏概念,1.3065000000000033
20230619,光伏概念,1.4357000000000033
20230620,光伏概念,1.1237000000000035
20230621,光伏概念,0.4108000000000036
20230626,光伏概念,0.22870000000000346
20230627,光伏概念,1.7810000000000032
20230628,光伏概念,2.188100000000003
20230629,光伏概念,3.2210000000000027
20230630,光伏概念,4.252300000000003
20230703,光伏概念,5.010100000000002
20230704,光伏概念,5.200300000000002
20230705,光伏概念,4.459800000000002
20230706,光伏概念,4.235700000000002
20230707,光伏概念,3.493500000000002
20230710,光伏概念,4.102200000000002
20230711,光伏概念,4.527100000000002
20230712,光伏概念,4.175200000000002
20230713,光伏概念,4.980800000000002
20230714,光伏概念,4.078800000000002
20230717,光伏概念,3.9696000000000016
20230718,光伏概念,3.8545000000000016
20230719,光伏概念,3.084900000000002
20230720,光伏概念,1.842500000000002
20230721,光伏概念,1.040100000000002
20230724,光伏概念,0.6826000000000021
20230725,光伏概念,2.0157000000000016
20230726,光伏概念,1.4033000000000015
20230727,光伏概念,0.6692000000000018
20230728,光伏概念,0.9224000000000019
20230731,光伏概念,1.7748000000000017
20230801,光伏概念,1.5875000000000021
20230802,光伏概念,1.361900000000002
20230803,光伏概念,1.4539000000000017
20230804,光伏概念,1.4937000000000014
20230807,光伏概念,1.0070000000000014
20230808,光伏概念,0.5235000000000016
20230809,光伏概念,-0.4802999999999984
20230810,光伏概念,-0.01849999999999863
20230811,光伏概念,-1.9398999999999986
20230814,光伏概念,-1.8039999999999985
20230815,光伏概念,-2.9338999999999986
20230816,光伏概念,-4.1225999999999985
20230817,光伏概念,-2.9347999999999983
20230818,光伏概念,-4.016299999999998
20230821,光伏概念,-4.982399999999998
20230822,光伏概念,-5.102599999999999
20230823,光伏概念,-7.108699999999998
20230824,光伏概念,-7.011799999999998
20230825,光伏概念,-8.646999999999998
20230828,光伏概念,-7.731299999999998
20230829,光伏概念,-4.501499999999998
20230830,光伏概念,-3.823599999999998
20230831,光伏概念,-4.336599999999999
20230901,光伏概念,-4.3115999999999985
20230904,光伏概念,-2.869799999999999
20230103,军工,0.0
20230104,军工,0.2549999999999999
20230105,军工,0.8462999999999998
20230106,军工,0.7277
20230109,军工,0.7616999999999998
20230110,军工,0.42979999999999974
20230111,军工,-0.8387000000000002
20230112,军工,-0.3974000000000002
20230113,军工,-0.6472000000000002
20230116,军工,0.5973999999999999
20230117,军工,0.9818000000000002
20230118,军工,1.8550999999999997
20230119,军工,3.0270999999999995
20230120,军工,3.8703
20230130,军工,6.5839
20230131,军工,7.2178
20230201,军工,9.422
20230202,军工,9.0661
20230203,军工,9.472900000000001
20230206,军工,9.530700000000001
20230207,军工,10.118100000000002
20230208,军工,9.462000000000002
20230209,军工,11.360700000000001
20230210,军工,10.7055
20230213,军工,11.8887
20230214,军工,11.5797
20230215,军工,12.296800000000001
20230216,军工,9.618200000000002
20230217,军工,8.866900000000001
20230220,军工,9.7984
20230221,军工,10.5256
20230222,军工,11.015500000000001
20230223,军工,10.563900000000002
20230224,军工,10.910900000000002
20230227,军工,10.105500000000001
20230228,军工,10.820900000000002
20230301,军工,11.903000000000002
20230302,军工,11.594700000000001
20230303,军工,11.717100000000002
20230306,军工,12.294500000000003
20230307,军工,9.572900000000002
20230308,军工,11.192400000000003
20230309,军工,11.227500000000003
20230310,军工,9.754300000000002
20230313,军工,10.163100000000002
20230314,军工,9.061500000000002
20230315,军工,9.570200000000002
20230316,军工,7.430900000000001
20230317,军工,8.387500000000001
20230320,军工,7.9838000000000005
20230321,军工,9.921100000000001
20230322,军工,10.344500000000002
20230323,军工,10.756900000000002
20230324,军工,10.7908
20230327,军工,10.7453
20230328,军工,9.4233
20230329,军工,8.8615
20230330,军工,8.3356
20230331,军工,9.1451
20230403,军工,10.6817
20230404,军工,9.767199999999999
20230406,军工,10.156699999999999
20230407,军工,10.6916
20230410,军工,9.423
20230411,军工,9.3317
20230412,军工,10.4887
20230413,军工,9.182
20230414,军工,9.7547
20230417,军工,9.5842
20230418,军工,9.1191
20230419,军工,8.9429
20230420,军工,8.5112
20230421,军工,6.3323
20230424,军工,5.320600000000001
20230425,军工,2.8743000000000003
20230426,军工,3.7853000000000008
20230427,军工,4.088900000000001
20230428,军工,5.773200000000001
20230504,军工,5.885300000000001
20230505,军工,4.863100000000001
20230508,军工,6.4031
20230509,军工,4.251099999999999
20230510,军工,4.8606
20230511,军工,4.8225999999999996
20230512,军工,3.406499999999999
20230515,军工,4.857799999999999
20230516,军工,3.9028999999999985
20230517,军工,6.212899999999999
20230518,军工,7.125399999999999
20230519,军工,7.250499999999999
20230522,军工,7.376199999999999
20230523,军工,6.230099999999998
20230524,军工,6.540199999999999
20230525,军工,6.946199999999999
